p_mean_age,p_max_age,p_proportion_wearing_masks,p_healthcare_capacity,p_self_isolate_proportion,p_lockdown,p_lockdown_percentage,p_lockdown_compliance,r_timesteps,r_dead,r_recovered,r_infected,r_infectious,r_unaffected
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,2286,12,436,0,0,52
40.01953125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,2312,15,416,0,0,69
34.39453125,54.16015625,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1386,19,477,0,0,4
34.39453125,55.80078125,0.0849609375,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1926,7,455,0,0,38
34.39453125,55.80078125,0.5185546875,63.720703125,0.2802734375,True,0.0277197265625,89.99169921875,2427,14,423,0,0,63
34.39453125,55.80078125,0.5185546875,169.189453125,0.1611328125,True,0.0277197265625,89.99169921875,2069,15,436,0,0,49
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,False,0.0277197265625,89.99169921875,1628,16,434,0,0,50
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0760595703125,89.99169921875,2106,12,449,0,0,39
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,37.32666015625,627,0,4,0,0,496
40.01953125,54.16015625,0.0849609375,63.720703125,0.1611328125,False,0.0760595703125,37.32666015625,2227,19,431,0,0,50
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,2171,15,456,0,0,29
30.01953125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,2038,17,419,0,0,64
44.39453125,84.16015625,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,1789,20,464,0,0,16
44.39453125,85.80078125,0.5849609375,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,1889,20,438,0,0,42
44.39453125,85.80078125,0.0185546875,188.720703125,0.7802734375,False,0.2752197265625,40.24169921875,1761,14,436,0,0,50
44.39453125,85.80078125,0.0185546875,44.189453125,0.6611328125,False,0.2752197265625,40.24169921875,2025,11,432,0,0,57
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,True,0.2752197265625,40.24169921875,1736,26,472,0,0,2
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.3235595703125,40.24169921875,1398,14,483,0,0,3
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,87.07666015625,1976,13,446,0,0,41
30.01953125,84.16015625,0.5849609375,188.720703125,0.6611328125,True,0.3235595703125,87.07666015625,1656,17,452,0,0,31
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,1348,12,470,0,0,18
35.01953125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2034,17,432,0,0,51
49.39453125,99.16015625,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2791,11,442,0,0,47
49.39453125,70.80078125,0.8349609375,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,1835,15,443,0,0,42
49.39453125,70.80078125,0.7685546875,126.220703125,0.5302734375,False,0.1514697265625,15.36669921875,1821,14,463,0,0,23
49.39453125,70.80078125,0.7685546875,231.689453125,0.4111328125,False,0.1514697265625,15.36669921875,1965,13,451,0,0,36
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2298,9,418,0,0,73
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.4473095703125,15.36669921875,2189,18,438,0,0,44
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,12.45166015625,2074,14,441,0,0,45
35.01953125,99.16015625,0.8349609375,126.220703125,0.4111328125,False,0.4473095703125,12.45166015625,2530,12,433,0,0,55
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2175,15,453,0,0,32
45.01953125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2056,20,416,0,0,64
39.39453125,69.16015625,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2105,18,442,0,0,40
39.39453125,100.80078125,0.3349609375,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2282,10,395,0,0,95
39.39453125,100.80078125,0.2685546875,1.220703125,0.0302734375,True,0.3989697265625,65.11669921875,2252,7,432,0,0,61
39.39453125,100.80078125,0.2685546875,106.689453125,0.9111328125,True,0.3989697265625,65.11669921875,2475,12,435,0,0,53
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2044,20,428,0,0,52
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.1998095703125,65.11669921875,2051,9,437,0,0,54
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,62.20166015625,1644,26,447,0,0,27
45.01953125,69.16015625,0.3349609375,1.220703125,0.9111328125,True,0.1998095703125,62.20166015625,781,0,7,0,0,493
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,2359,10,453,0,0,37
37.51953125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,1805,10,454,0,0,36
36.89453125,91.66015625,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,2236,18,461,0,0,21
36.89453125,78.30078125,0.9599609375,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,1830,21,456,0,0,23
36.89453125,78.30078125,0.1435546875,32.470703125,0.1552734375,True,0.2133447265625,2.92919921875,1792,17,466,0,0,17
36.89453125,78.30078125,0.1435546875,75.439453125,0.2861328125,True,0.2133447265625,2.92919921875,1728,23,455,0,0,22
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,2397,21,441,0,0,38
