,p_mean_age,p_risk_age,r_timesteps,r_dead,r_recovered,r_infected,r_infectious,r_unaffected
0,34.39453125,41.4501953125,3686,11,1637,0,0,352
1,40.37109375,41.4501953125,3823,7,1642,0,0,351
2,34.39453125,50.1513671875,3414,7,1610,0,0,383
3,40.37109375,50.1513671875,3235,7,1660,0,0,333
4,44.39453125,48.9501953125,3576,7,1578,0,0,415
5,30.37109375,48.9501953125,2950,9,1664,0,0,327
6,44.39453125,42.6513671875,3094,11,1670,0,0,319
7,30.37109375,42.6513671875,3379,11,1637,0,0,352
8,49.39453125,45.2001953125,2942,7,1630,0,0,363
9,45.37109375,45.2001953125,3114,3,1664,0,0,333
10,49.39453125,53.9013671875,3038,12,1635,0,0,353
11,45.37109375,53.9013671875,2821,15,1647,0,0,338
12,39.39453125,52.7001953125,3232,6,1651,0,0,343
13,35.37109375,52.7001953125,656,0,3,0,0,1997
14,39.39453125,46.4013671875,3789,13,1630,0,0,357
15,35.37109375,46.4013671875,500,0,1,0,0,1999
16,36.89453125,47.0751953125,3132,12,1680,0,0,308
17,32.87109375,47.0751953125,3673,11,1600,0,0,389
18,36.89453125,44.5263671875,3183,6,1609,0,0,385
19,32.87109375,44.5263671875,3274,7,1636,0,0,357
20,46.89453125,54.5751953125,3567,6,1581,0,0,413
21,42.87109375,54.5751953125,4267,12,1658,0,0,330
22,46.89453125,52.0263671875,2853,13,1662,0,0,325
23,42.87109375,52.0263671875,3230,8,1638,0,0,354
24,41.89453125,43.3251953125,3214,7,1644,0,0,349
25,37.87109375,43.3251953125,3076,6,1625,0,0,369
26,41.89453125,40.7763671875,2907,9,1612,0,0,379
27,37.87109375,40.7763671875,3452,6,1594,0,0,400
28,31.89453125,50.8251953125,3208,10,1664,0,0,326
29,47.87109375,50.8251953125,3425,16,1539,0,0,445
30,31.89453125,48.2763671875,3322,8,1612,0,0,380
31,47.87109375,48.2763671875,3641,10,1564,0,0,426
32,31.26953125,42.8564453125,3564,13,1634,0,0,353
33,30.99609375,42.8564453125,3498,6,1620,0,0,374
34,31.26953125,46.8701171875,3390,13,1652,0,0,335
35,30.99609375,46.8701171875,2812,6,1649,0,0,345
36,41.26953125,50.3564453125,2997,6,1662,0,0,332
37,40.99609375,50.3564453125,2945,8,1629,0,0,363
38,41.26953125,54.3701171875,3772,6,1650,0,0,344
39,40.99609375,54.3701171875,3682,6,1626,0,0,368
