,infected,recovered,fatalities,infected_known
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,2,0,0,0
43,2,0,0,0
44,2,0,0,0
45,2,0,0,0
46,3,0,0,0
47,3,0,0,0
48,3,0,0,0
49,4,0,0,0
50,4,0,0,0
51,4,0,0,0
52,4,0,0,0
53,4,0,0,0
54,4,0,0,0
55,4,0,0,0
56,4,0,0,0
57,4,0,0,0
58,5,0,0,0
59,5,0,0,0
60,5,0,0,0
61,5,0,0,0
62,6,0,0,0
63,6,0,0,0
64,6,0,0,0
65,6,0,0,0
66,7,0,0,0
67,8,0,0,0
68,9,0,0,0
69,9,0,0,0
70,9,0,0,0
71,11,0,0,0
72,14,0,0,0
73,14,0,0,0
74,14,0,0,0
75,14,0,0,0
76,17,0,0,0
77,18,0,0,0
78,18,0,0,0
79,20,0,0,0
80,22,0,0,0
81,22,0,0,0
82,23,0,0,0
83,23,0,0,0
84,25,0,0,0
85,28,0,0,0
86,28,0,0,0
87,28,0,0,0
88,29,0,0,0
89,30,0,0,0
90,32,0,0,0
91,33,0,0,0
92,34,0,0,0
93,35,0,0,0
94,36,0,0,0
95,36,0,0,0
96,37,0,0,0
97,39,0,0,0
98,42,0,0,0
99,46,1,0,0
100,49,1,0,0
101,52,1,0,0
102,57,1,0,0
103,61,1,0,0
104,62,1,0,0
105,66,1,0,0
106,71,1,0,0
107,75,1,0,0
108,79,1,0,0
109,84,1,0,0
110,87,1,0,0
111,89,1,0,0
112,93,1,0,0
113,98,1,0,0
114,104,1,0,0
115,108,1,0,0
116,110,1,0,0
117,111,2,0,0
118,115,2,0,0
119,115,2,0,0
120,117,2,0,1
121,117,2,0,1
122,119,2,0,1
123,122,2,0,1
124,122,2,0,1
125,125,2,0,1
126,127,2,0,1
127,129,2,0,1
128,132,2,0,1
129,136,2,0,1
130,137,2,0,6
131,139,2,0,6
132,139,2,0,6
133,142,2,0,6
134,145,2,0,6
135,146,2,0,6
136,150,2,0,6
137,152,2,0,6
138,156,2,0,6
139,160,2,0,6
140,161,2,0,9
141,162,2,0,9
142,163,2,0,9
143,167,2,0,9
144,167,2,0,9
145,168,2,0,9
146,171,2,0,9
147,171,2,0,9
148,173,2,0,9
149,174,2,0,9
150,175,2,0,12
151,175,2,0,12
152,175,2,0,12
153,175,2,0,12
154,175,2,0,12
155,176,2,0,12
156,176,2,0,12
157,179,2,0,12
158,182,2,0,12
159,185,2,0,12
160,186,2,0,14
161,188,2,0,14
162,189,2,0,14
163,190,2,0,14
164,191,2,0,14
165,193,2,0,14
166,194,2,0,14
167,195,2,0,14
168,195,2,0,14
169,196,2,0,14
170,198,2,0,20
171,201,2,0,20
172,202,2,0,20
173,203,2,0,20
174,204,2,0,20
175,205,2,0,20
176,205,2,0,20
177,207,2,0,20
178,209,2,0,20
179,211,2,0,20
180,213,2,0,31
181,213,2,0,31
182,214,2,0,31
183,214,2,0,31
184,214,2,0,31
185,214,2,0,31
186,216,2,0,31
187,217,2,0,31
188,218,2,0,31
189,220,2,0,31
190,220,2,0,47
191,220,2,0,47
192,221,2,0,47
193,221,2,0,47
194,224,2,0,47
195,225,2,0,47
196,226,2,0,47
197,228,2,0,47
198,229,2,0,47
199,230,2,0,47
200,230,2,0,70
201,231,2,0,70
202,232,2,0,70
203,232,2,0,70
204,232,2,0,70
205,233,2,0,70
206,234,2,0,70
207,234,2,0,70
208,234,2,0,70
209,234,2,0,70
210,235,2,0,91
211,235,2,0,91
212,235,2,0,91
213,235,2,0,91
214,235,2,0,91
215,235,2,0,91
216,239,2,0,91
217,239,2,0,91
218,239,2,0,91
219,240,2,0,91
220,240,2,0,103
221,241,2,0,103
222,242,2,0,103
223,242,2,0,103
224,243,2,0,103
225,243,2,0,103
226,243,2,0,103
227,244,2,0,103
228,244,2,0,103
229,245,2,0,103
230,245,2,0,112
231,246,2,0,112
232,246,2,0,112
233,246,2,0,112
234,247,2,0,112
235,247,2,0,112
236,247,2,0,112
237,247,2,0,112
238,247,2,0,112
239,248,2,0,112
240,248,2,0,126
241,248,2,0,126
242,248,2,0,126
243,248,2,0,126
244,249,2,0,126
245,249,2,0,126
246,249,2,0,126
247,251,2,0,126
248,251,2,0,126
249,251,2,0,126
250,252,2,0,135
251,252,2,0,135
252,252,2,0,135
253,252,2,0,135
254,253,2,0,135
255,253,2,0,135
256,254,2,0,135
257,255,2,0,135
258,255,2,0,135
259,255,2,0,135
260,255,2,0,147
261,255,2,0,147
262,255,2,0,147
263,255,2,0,147
264,255,2,0,147
265,255,2,0,147
266,255,2,0,147
267,255,2,0,147
268,255,2,0,147
269,255,2,0,147
270,255,2,0,157
271,255,2,0,157
272,255,2,0,157
273,255,2,0,157
274,255,2,0,157
275,255,2,0,157
276,255,2,0,157
277,255,2,0,157
278,255,2,0,157
279,256,2,0,157
280,257,2,0,163
281,257,2,0,163
282,258,2,0,163
283,258,2,0,163
284,258,2,0,163
285,258,2,0,163
286,258,2,0,163
287,258,2,0,163
288,258,2,0,163
289,258,2,0,163
290,258,2,0,166
291,258,2,0,166
292,258,2,0,166
293,258,2,0,166
294,258,2,0,166
295,258,2,0,166
296,258,2,0,166
297,258,2,0,166
298,258,2,0,166
299,258,2,0,166
300,259,2,0,178
301,259,2,0,178
302,259,2,0,178
303,259,2,0,178
304,259,2,0,178
305,260,2,0,178
306,259,3,0,177
307,259,3,0,177
308,259,3,0,177
309,261,3,0,177
310,262,3,0,180
311,262,3,0,180
312,263,3,0,180
313,263,3,0,180
314,263,3,0,180
315,263,3,0,180
316,263,3,0,180
317,263,3,0,180
318,263,3,0,180
319,263,3,0,180
320,263,3,0,188
321,263,3,0,188
322,263,3,0,188
323,262,4,0,187
324,262,4,0,187
325,262,4,0,187
326,262,4,0,187
327,262,4,0,187
328,263,4,0,187
329,263,4,0,187
330,263,4,0,190
331,263,4,0,190
332,265,4,0,190
333,265,4,0,190
334,265,4,0,190
335,265,4,0,190
336,265,4,0,190
337,266,4,0,190
338,266,4,0,190
339,266,4,0,190
340,266,5,0,193
341,266,5,0,193
342,266,5,0,193
343,266,5,0,193
344,266,5,0,193
345,266,5,0,193
346,266,5,0,193
347,267,5,0,193
348,267,5,0,193
349,267,5,0,193
350,267,5,0,196
351,265,7,0,194
352,266,7,0,194
353,265,8,0,193
354,266,8,0,193
355,266,9,0,192
356,268,9,0,192
357,265,12,0,189
358,266,12,0,189
359,266,13,0,188
360,266,13,0,191
361,264,15,0,190
362,265,15,0,190
363,265,15,0,190
364,265,15,0,190
365,265,15,0,190
366,265,16,0,189
367,265,16,0,189
368,266,16,0,189
369,265,17,0,189
370,265,17,0,190
371,265,17,0,190
372,265,17,0,190
373,264,19,0,188
374,264,19,0,188
375,263,20,0,187
376,262,21,0,187
377,262,22,0,186
378,263,22,0,186
379,263,23,0,185
380,263,23,0,188
381,262,24,0,187
382,261,25,0,186
383,261,25,0,186
384,261,25,0,186
385,262,25,0,186
386,260,25,2,184
387,260,25,2,184
388,260,25,2,184
389,259,26,2,184
390,259,26,2,185
391,260,26,2,185
392,260,26,2,185
393,260,26,2,185
394,260,26,2,185
395,260,26,2,185
396,260,26,2,185
397,260,27,2,184
398,261,27,2,184
399,261,27,2,184
400,260,28,2,187
401,260,28,2,187
402,260,28,2,187
403,260,28,2,187
404,260,28,2,187
405,259,30,2,186
406,259,30,2,186
407,259,30,2,186
408,259,30,2,186
409,260,30,2,186
410,260,30,2,187
411,260,30,2,187
412,260,30,2,187
413,261,30,2,187
414,260,31,2,186
415,260,32,2,185
416,258,34,2,184
417,256,36,2,182
418,255,37,2,181
419,253,40,2,180
420,253,40,2,183
421,253,40,2,183
422,252,40,3,182
423,251,41,3,181
424,251,41,3,181
425,250,42,3,181
