,infected,recovered,fatalities,infected_known,susceptible
0,0,0,0,0,2000
1,0,0,0,0,2000
2,0,0,0,0,2000
3,0,0,0,0,2000
4,0,0,0,0,2000
5,0,0,0,0,2000
6,5,0,0,0,1995
7,5,0,0,0,1995
8,5,0,0,0,1995
9,5,0,0,0,1995
10,5,0,0,0,1995
11,5,0,0,0,1995
12,5,0,0,0,1995
13,5,0,0,0,1995
14,5,0,0,0,1995
15,5,0,0,0,1995
16,5,0,0,0,1995
17,5,0,0,0,1995
18,5,0,0,0,1995
19,5,0,0,0,1995
20,5,0,0,0,1995
21,5,0,0,0,1995
22,5,0,0,0,1995
23,5,0,0,0,1995
24,5,0,0,0,1995
25,5,0,0,0,1995
26,5,0,0,0,1995
27,7,0,0,0,1993
28,7,0,0,0,1993
29,10,0,0,0,1990
30,12,0,0,0,1988
31,15,0,0,0,1985
32,15,0,0,0,1985
33,16,0,0,0,1984
34,20,0,0,0,1980
35,21,0,0,0,1979
36,22,0,0,0,1978
37,22,0,0,0,1978
38,24,0,0,0,1976
39,27,0,0,0,1973
40,29,0,0,0,1971
41,32,0,0,0,1968
42,33,0,0,0,1967
43,34,0,0,0,1966
44,34,0,0,0,1966
45,38,0,0,0,1962
46,42,0,0,0,1958
47,43,0,0,0,1957
48,44,0,0,0,1956
49,46,0,0,0,1954
50,50,0,0,0,1950
51,56,0,0,0,1944
52,60,0,0,0,1940
53,67,0,0,0,1933
54,72,0,0,0,1928
55,76,0,0,0,1924
56,81,0,0,0,1919
57,88,0,0,0,1912
58,94,0,0,0,1906
59,101,0,0,0,1899
60,104,0,0,0,1896
61,106,0,0,0,1894
62,110,0,0,0,1890
63,112,0,0,0,1888
64,118,0,0,0,1882
65,124,0,0,0,1876
66,130,0,0,0,1870
67,134,0,0,0,1866
68,143,0,0,0,1857
69,151,0,0,0,1849
70,153,0,0,0,1847
71,157,0,0,0,1843
72,158,0,0,0,1842
73,164,0,0,0,1836
74,172,0,0,0,1828
75,179,0,0,0,1821
76,188,0,0,0,1812
77,192,0,0,0,1808
78,200,0,0,0,1800
79,207,0,0,0,1793
80,219,0,0,4,1781
81,225,0,0,4,1775
82,229,0,0,4,1771
83,232,0,0,4,1768
84,236,0,0,4,1764
85,246,0,0,4,1754
86,249,0,0,4,1751
87,256,0,0,4,1744
88,264,0,0,4,1736
89,277,0,0,4,1723
90,285,0,0,6,1715
91,287,0,0,6,1713
92,290,0,0,6,1710
93,294,0,0,6,1706
94,299,0,0,6,1701
95,302,0,0,6,1698
96,307,0,0,6,1693
97,312,0,0,6,1688
98,323,0,0,6,1677
99,330,0,0,6,1670
100,345,0,0,9,1655
101,352,0,0,9,1648
102,356,0,0,9,1644
103,362,0,0,9,1638
104,366,0,0,9,1634
105,374,0,0,9,1626
106,383,0,0,9,1617
107,394,0,0,9,1606
108,407,0,0,9,1593
109,415,0,0,9,1585
110,425,0,0,24,1575
111,429,0,0,24,1571
112,432,0,0,24,1568
113,435,0,0,24,1565
114,445,0,0,24,1555
115,452,0,0,24,1548
116,460,0,0,24,1540
117,468,0,0,24,1532
118,474,0,0,24,1526
119,486,0,0,24,1514
120,496,0,0,33,1504
121,501,0,0,33,1499
122,504,0,0,33,1496
123,513,0,0,33,1487
124,520,0,0,33,1480
125,529,0,0,33,1471
126,539,0,0,33,1461
127,549,0,0,33,1451
128,559,0,0,33,1441
129,568,0,0,33,1432
130,576,0,0,49,1424
131,585,0,0,49,1415
132,592,0,0,49,1408
133,600,0,0,49,1400
134,606,0,0,49,1394
135,618,0,0,49,1382
136,626,0,0,49,1374
137,635,0,0,49,1365
138,645,0,0,49,1355
139,652,0,0,49,1348
140,659,0,0,72,1341
141,661,0,0,72,1339
142,668,0,0,72,1332
143,676,0,0,72,1324
144,682,0,0,72,1318
145,684,0,0,72,1316
146,699,0,0,72,1301
147,705,0,0,72,1295
148,715,0,0,72,1285
149,719,0,0,72,1281
150,739,0,0,94,1261
151,744,0,0,94,1256
152,755,0,0,94,1245
153,760,0,0,94,1240
154,774,0,0,94,1226
155,783,0,0,94,1217
156,797,1,0,94,1202
157,807,1,0,94,1192
158,813,1,0,94,1186
159,819,1,0,94,1180
160,829,1,0,139,1170
161,837,1,0,139,1162
162,846,1,0,139,1153
163,852,1,0,139,1147
164,860,1,0,139,1139
165,864,1,0,139,1135
166,878,1,0,139,1121
167,886,1,0,139,1113
168,899,1,0,139,1100
169,916,1,0,139,1083
170,925,1,0,175,1074
171,929,1,0,175,1070
172,934,1,0,175,1065
173,942,1,0,175,1057
174,949,1,0,175,1050
175,954,1,0,175,1045
176,971,1,0,175,1028
177,986,1,0,175,1013
178,998,1,0,175,1001
179,1005,1,0,175,994
180,1132,1,0,214,867
181,1201,2,0,214,797
182,1249,2,0,214,749
183,1288,2,0,214,710
184,1310,2,0,214,688
185,1331,2,0,214,667
186,1353,2,0,214,645
187,1373,2,0,214,625
188,1400,2,0,214,598
189,1417,2,0,214,581
190,1435,2,0,257,563
191,1455,2,0,257,543
192,1471,2,0,257,527
193,1486,2,0,257,512
194,1501,2,0,257,497
195,1517,2,0,257,481
196,1529,2,0,257,469
197,1544,2,0,257,454
198,1552,2,0,257,446
199,1568,2,0,257,430
200,1579,2,0,317,419
201,1586,2,0,317,412
202,1602,2,0,317,396
203,1607,2,0,317,391
204,1617,2,0,317,381
205,1628,2,0,317,370
206,1639,2,0,317,359
207,1645,2,0,317,353
208,1655,2,0,317,343
209,1668,2,0,317,330
210,1683,2,0,385,315
211,1685,2,0,385,313
212,1693,2,0,385,305
213,1702,2,0,385,296
214,1709,2,0,385,289
215,1719,2,0,385,279
216,1729,2,0,385,269
217,1741,2,0,385,257
218,1750,2,0,385,248
219,1758,2,0,385,240
220,1767,2,0,443,231
221,1778,2,0,443,220
222,1784,2,0,443,214
223,1790,2,0,443,208
224,1792,2,0,443,206
225,1801,2,0,443,197
226,1807,2,0,443,191
227,1812,2,0,443,186
228,1817,2,0,443,181
229,1821,2,0,443,177
230,1826,2,0,502,172
231,1830,2,0,502,168
232,1833,2,0,502,165
233,1838,2,0,502,160
234,1843,2,0,502,155
235,1847,2,0,502,151
236,1854,2,0,502,144
237,1857,2,0,502,141
238,1859,2,0,502,139
239,1860,2,0,502,138
240,1861,2,0,568,137
241,1865,2,0,568,133
242,1866,2,0,568,132
243,1868,2,0,568,130
244,1871,2,0,568,127
245,1874,2,0,568,124
246,1875,2,0,568,123
247,1876,2,0,568,122
248,1882,2,0,568,116
249,1883,2,0,568,115
250,1886,2,0,626,112
251,1891,2,0,626,107
252,1894,2,0,626,104
253,1898,2,0,626,100
254,1902,2,0,626,96
255,1904,2,0,626,94
256,1906,2,0,626,92
257,1910,2,0,626,88
258,1913,2,0,626,85
259,1915,2,0,626,83
260,1918,2,0,750,80
261,1918,2,0,750,80
262,1919,2,0,750,79
263,1919,2,0,750,79
264,1921,2,0,750,77
265,1922,2,0,750,76
266,1923,2,0,750,75
267,1924,2,0,750,74
268,1924,2,0,750,74
269,1924,2,0,750,74
270,1924,2,0,872,74
271,1925,2,0,872,73
272,1928,2,0,872,70
273,1930,2,0,872,68
274,1930,2,0,872,68
275,1932,2,0,872,66
276,1933,2,0,872,65
277,1934,2,0,872,64
278,1934,2,0,872,64
279,1935,2,0,872,63
280,1937,2,0,975,61
281,1938,2,0,975,60
282,1938,2,0,975,60
283,1937,3,0,974,60
284,1941,3,0,974,56
285,1941,3,0,974,56
286,1943,3,0,974,54
287,1945,3,0,974,52
288,1944,3,1,973,52
289,1945,3,1,973,51
290,1945,3,1,1061,51
291,1945,3,1,1061,51
292,1945,3,1,1061,51
293,1945,3,1,1061,51
294,1946,3,1,1061,50
295,1946,3,1,1061,50
296,1946,3,1,1061,50
297,1947,3,1,1061,49
298,1949,3,1,1061,47
299,1949,3,1,1061,47
300,1950,3,1,1142,46
301,1950,3,1,1142,46
302,1950,3,1,1142,46
303,1950,3,1,1142,46
304,1950,3,1,1142,46
305,1952,3,1,1142,44
306,1952,3,1,1142,44
307,1952,4,1,1141,43
308,1952,4,1,1141,43
309,1954,4,1,1141,41
310,1954,4,1,1214,41
311,1954,4,1,1214,41
312,1954,4,1,1214,41
313,1954,4,1,1214,41
314,1954,4,1,1214,41
315,1953,5,1,1213,41
316,1952,6,1,1212,41
317,1950,8,1,1210,41
318,1950,8,1,1210,41
319,1950,8,1,1210,41
320,1950,9,1,1264,40
321,1950,9,1,1264,40
322,1949,10,1,1263,40
323,1949,10,1,1263,40
324,1949,10,1,1263,40
325,1949,10,1,1263,40
326,1949,10,1,1263,40
327,1949,10,1,1263,40
328,1947,12,1,1262,40
329,1947,12,1,1262,40
330,1947,12,1,1305,40
331,1948,12,1,1305,39
332,1948,12,1,1305,39
333,1947,13,1,1304,39
334,1947,13,1,1304,39
335,1946,14,1,1303,39
336,1946,14,1,1303,39
337,1945,15,1,1303,39
338,1945,15,1,1303,39
339,1946,15,1,1303,38
340,1944,17,1,1335,38
341,1944,17,1,1335,38
342,1945,17,1,1335,37
343,1944,18,1,1334,37
344,1943,19,2,1332,36
345,1943,19,2,1332,36
346,1943,19,2,1332,36
347,1941,21,2,1331,36
348,1941,21,2,1331,36
349,1940,21,3,1330,36
350,1940,21,3,1361,36
351,1939,22,3,1361,36
352,1937,23,4,1359,36
353,1935,25,4,1357,36
354,1932,28,4,1355,36
355,1932,28,4,1355,36
356,1930,30,4,1353,36
357,1930,30,4,1353,36
358,1929,31,4,1352,36
359,1926,34,4,1350,36
360,1925,35,4,1372,36
361,1921,39,4,1368,36
362,1917,43,4,1364,36
363,1916,44,4,1363,36
364,1915,45,4,1362,36
365,1915,45,4,1362,36
366,1912,48,4,1359,36
367,1909,50,5,1357,36
368,1907,52,5,1355,36
369,1905,54,5,1353,36
370,1904,55,5,1367,36
371,1899,59,6,1363,36
372,1895,63,6,1362,36
373,1894,64,6,1362,36
374,1892,66,6,1361,36
375,1890,68,6,1360,36
376,1887,71,6,1357,36
377,1886,72,6,1356,36
378,1882,75,7,1352,36
379,1879,78,7,1350,36
380,1878,79,7,1366,36
381,1876,82,7,1363,35
382,1876,82,7,1363,35
383,1874,84,7,1362,35
384,1873,85,7,1362,35
385,1869,89,7,1360,35
386,1869,89,7,1360,35
387,1867,90,8,1358,35
388,1862,95,8,1353,35
389,1859,97,9,1350,35
390,1853,102,10,1354,35
391,1849,106,10,1352,35
392,1847,108,10,1350,35
393,1843,112,10,1348,35
394,1837,118,10,1343,35
395,1837,118,10,1343,35
396,1835,120,10,1341,35
397,1834,121,10,1340,35
398,1833,122,10,1340,35
399,1833,122,10,1340,35
400,1826,129,10,1341,35
401,1822,133,10,1337,35
402,1820,135,10,1335,35
403,1819,136,10,1334,35
404,1812,142,11,1329,35
405,1809,145,11,1327,35
406,1806,148,11,1325,35
407,1802,152,11,1321,35
408,1800,154,11,1319,35
409,1794,160,11,1315,35
410,1789,165,11,1317,35
411,1784,170,11,1312,35
412,1780,174,11,1308,35
413,1776,178,11,1305,35
414,1768,186,11,1298,35
415,1762,191,12,1296,35
416,1756,197,12,1292,35
417,1752,201,12,1288,35
418,1749,204,12,1285,35
419,1743,209,13,1280,35
420,1739,211,15,1286,35
421,1732,216,17,1282,35
422,1725,223,17,1277,35
423,1722,226,17,1274,35
424,1717,231,17,1270,35
425,1704,244,17,1259,35
426,1697,251,17,1256,35
427,1692,255,18,1252,35
428,1688,259,18,1249,35
429,1681,266,19,1243,34
430,1677,269,20,1251,34
431,1671,275,20,1247,34
432,1668,279,20,1244,33
433,1663,284,20,1241,33
434,1658,288,21,1236,33
435,1655,290,22,1234,33
436,1642,300,25,1221,33
437,1637,305,25,1217,33
438,1636,306,25,1216,33
439,1630,311,26,1210,33
440,1623,318,26,1213,33
441,1615,326,26,1205,33
442,1611,330,26,1204,33
443,1609,332,26,1203,33
444,1601,340,26,1198,33
445,1597,344,26,1195,33
446,1593,348,26,1191,33
447,1589,352,26,1190,33
448,1582,358,27,1183,33
449,1576,364,27,1179,33
450,1570,370,27,1178,33
451,1564,376,27,1176,33
