,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2
0,0,0,0,0,2000,0,0,0
1,0,0,0,0,2000,0,0,0
2,0,0,0,0,2000,0,0,0
3,0,0,0,0,2000,0,0,0
4,0,0,0,0,2000,0,0,0
5,0,0,0,0,2000,0,0,0
6,5,0,0,0,1995,0,0,0
7,5,0,0,0,1995,0,0,0
8,5,0,0,0,1995,0,0,0
9,5,0,0,0,1995,0,0,0
10,5,0,0,0,1995,0,0,0
11,5,0,0,0,1995,0,0,0
12,5,0,0,0,1995,0,0,0
13,5,0,0,0,1995,0,0,0
14,5,0,0,0,1995,0,0,0
15,5,0,0,0,1995,0,0,0
16,5,0,0,0,1995,0,0,0
17,5,0,0,0,1995,0,0,0
18,5,0,0,0,1995,0,0,0
19,5,0,0,0,1995,0,0,0
20,5,0,0,0,1995,0,0,0
21,5,0,0,0,1995,0,0,0
22,5,0,0,0,1995,0,0,0
23,5,0,0,0,1995,0,0,0
24,5,0,0,0,1995,0,0,0
25,5,0,0,0,1995,5,0,0
26,7,0,0,0,1993,5,0,0
27,8,0,0,0,1992,5,0,0
28,9,0,0,0,1991,5,0,0
29,10,0,0,0,1990,5,0,0
30,13,0,0,0,1987,5,0,0
31,15,0,0,0,1985,5,0,0
32,16,0,0,0,1984,5,0,0
33,17,0,0,0,1983,5,0,0
34,18,0,0,0,1982,5,0,0
35,19,0,0,0,1981,5,0,0
36,21,0,0,0,1979,5,0,0
37,22,0,0,0,1978,5,0,0
38,24,0,0,0,1976,5,0,0
39,24,0,0,0,1976,5,0,0
40,24,0,0,0,1976,5,0,0
41,24,0,0,0,1976,5,0,0
42,24,0,0,0,1976,5,0,0
43,26,0,0,0,1974,5,0,0
44,27,0,0,0,1973,5,0,0
45,32,0,0,0,1968,5,0,0
46,33,0,0,0,1967,7,0,0
47,35,0,0,0,1965,8,0,0
48,39,0,0,0,1961,9,0,0
49,41,0,0,0,1959,10,0,0
50,46,0,0,0,1954,13,0,0
51,52,0,0,0,1948,15,0,0
