,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,9,0,0,0,1991,5,0,0,,0.0
27,11,0,0,0,1989,5,0,0,,0.0
28,12,0,0,0,1988,5,0,0,,0.0
29,12,0,0,0,1988,5,0,0,,0.0
30,13,0,0,0,1987,5,0,0,,0.0
31,15,0,0,0,1985,5,0,0,,0.0
32,15,0,0,0,1985,5,0,0,,0.0
33,18,0,0,0,1982,5,0,0,,0.0
34,20,0,0,0,1980,5,0,0,,0.0
35,21,0,0,0,1979,5,0,0,,0.0
36,23,0,0,0,1977,5,0,0,,0.0
37,24,0,0,0,1976,5,0,0,,0.0
38,25,0,0,0,1975,5,0,0,,0.0
39,25,0,0,0,1975,5,0,0,,0.0
40,25,0,0,0,1975,5,0,0,,0.0
41,26,0,0,0,1974,5,0,0,,0.0
42,28,0,0,0,1972,5,0,0,,0.0
43,30,0,0,0,1970,5,0,0,,0.0
44,30,0,0,0,1970,5,0,0,,0.0
45,30,0,0,0,1970,5,0,0,,0.0
46,31,0,0,0,1969,9,0,0,,0.0
47,37,0,0,0,1963,11,0,0,,0.0
48,37,0,0,0,1963,12,0,0,,0.0
49,41,0,0,0,1959,12,0,0,,0.0
50,43,0,0,0,1957,13,0,0,,0.0
51,43,0,0,0,1957,15,0,0,,0.0
52,46,0,0,0,1954,15,0,0,,0.0
53,50,0,0,0,1950,18,0,0,,0.0
54,53,0,0,0,1947,20,0,0,,0.0
55,57,0,0,0,1943,21,0,0,,0.0
56,61,0,0,0,1939,23,0,0,,0.0
57,66,0,0,0,1934,24,0,0,,0.0
58,70,0,0,0,1930,25,0,0,,0.0
59,77,0,0,0,1923,25,0,0,,0.0
60,83,0,0,0,1917,25,0,0,,0.0
61,92,0,0,0,1908,26,0,0,,0.0
62,98,0,0,0,1902,28,0,0,,0.0
63,104,0,0,0,1896,30,0,0,,
64,104,0,0,0,1896,30,0,0,,
65,107,0,0,0,1893,30,0,0,,
66,109,0,0,0,1891,31,0,0,,
67,116,0,0,0,1884,37,0,0,,
68,116,0,0,0,1884,37,0,0,,
69,118,0,0,0,1882,41,0,0,,
70,118,0,0,0,1882,43,0,0,0.0,10.0
71,119,0,0,0,1881,43,0,0,,
72,119,0,0,0,1881,46,0,0,,
73,124,0,0,0,1876,50,0,0,,
74,125,0,0,0,1875,53,0,0,,
75,127,0,0,0,1873,52,5,0,,
76,129,0,0,0,1871,56,5,0,,
77,131,0,0,0,1869,61,5,0,,
78,133,0,0,0,1867,65,5,0,,
79,137,0,0,0,1863,72,5,0,,
80,141,0,0,5,1859,78,5,0,5.0,10.0
81,142,0,0,5,1858,87,5,0,,
82,144,0,0,5,1856,93,5,0,,
83,147,0,0,5,1853,99,5,0,,
84,154,0,0,5,1846,99,5,0,,
85,158,0,0,5,1842,102,5,0,,
86,160,0,0,5,1840,104,5,0,,
87,163,0,0,5,1837,111,5,0,,
88,167,0,0,5,1833,111,5,0,,
89,172,0,0,5,1828,113,5,0,,
90,179,0,0,6,1821,113,5,0,1.0,25.0
91,180,0,0,6,1820,114,5,0,,
92,181,0,0,6,1819,114,5,0,,
93,182,0,0,6,1818,119,5,0,,
94,184,0,0,6,1816,120,5,0,,
95,186,0,0,6,1814,122,5,0,,
96,191,0,0,6,1809,121,8,0,,
97,193,0,0,6,1807,122,9,0,,
98,195,0,0,6,1805,123,10,0,,
99,201,0,0,6,1799,127,10,0,,
100,207,0,0,13,1793,131,10,0,7.0,20.0
101,209,0,0,13,1791,131,11,0,,
102,210,0,0,13,1790,133,11,0,,
103,213,0,0,13,1787,133,14,0,,
104,214,0,0,13,1786,139,15,0,,
105,217,0,0,13,1783,143,15,0,,
106,219,0,0,13,1781,144,16,0,,
107,223,0,0,13,1777,146,17,0,,
108,228,0,0,13,1772,149,18,0,,
109,233,0,0,13,1767,154,18,0,,
110,237,0,0,24,1763,161,18,0,11.0,43.0
111,239,0,0,24,1761,161,19,0,,
112,242,0,0,24,1758,161,20,0,,
113,247,0,0,24,1753,160,22,0,,
