,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,7,0,0,0,1993,5,0,0,,0.0
27,8,0,0,0,1992,5,0,0,,0.0
28,9,0,0,0,1991,5,0,0,,0.0
29,10,0,0,0,1990,5,0,0,,0.0
30,11,0,0,0,1989,5,0,0,,0.0
31,14,0,0,0,1986,5,0,0,,0.0
32,15,0,0,0,1985,5,0,0,,0.0
33,16,0,0,0,1984,5,0,0,,0.0
34,16,0,0,0,1984,5,0,0,,0.0
35,18,0,0,0,1982,5,0,0,,0.0
36,19,0,0,0,1981,5,0,0,,0.0
37,19,0,0,0,1981,5,0,0,,0.0
38,19,0,0,0,1981,5,0,0,,0.0
39,22,0,0,0,1978,5,0,0,,0.0
40,23,0,0,0,1977,5,0,0,,0.0
41,24,0,0,0,1976,5,0,0,,0.0
42,27,0,0,0,1973,5,0,0,,0.0
43,29,0,0,0,1971,5,0,0,,0.0
44,30,0,0,0,1970,5,0,0,,0.0
45,31,0,0,0,1969,5,0,0,,0.0
46,32,0,0,0,1968,7,0,0,,0.0
47,35,0,0,0,1965,8,0,0,,0.0
48,38,0,0,0,1962,9,0,0,,0.0
49,40,0,0,0,1960,10,0,0,,0.0
50,45,0,0,0,1955,11,0,0,,0.0
51,48,0,0,0,1952,14,0,0,,0.0
52,49,0,0,0,1951,15,0,0,,0.0
53,54,0,0,0,1946,16,0,0,,0.0
54,56,0,0,0,1944,16,0,0,,0.0
55,64,0,0,0,1936,18,0,0,,0.0
56,72,0,0,0,1928,19,0,0,,0.0
57,76,0,0,0,1924,19,0,0,,0.0
58,79,0,0,0,1921,19,0,0,,0.0
59,84,0,0,0,1916,22,0,0,,0.0
60,90,0,0,0,1910,23,0,0,,0.0
61,100,0,0,0,1900,24,0,0,,
62,101,0,0,0,1899,27,0,0,,
63,105,0,0,0,1895,29,0,0,,
64,105,0,0,0,1895,30,0,0,,
65,109,0,0,0,1891,31,0,0,,
66,116,0,0,0,1884,32,0,0,,
67,117,0,0,0,1883,35,0,0,,
68,121,0,0,0,1879,38,0,0,,
69,128,0,0,0,1872,40,0,0,,
70,134,0,0,0,1866,45,0,0,0.0,10.0
71,134,0,0,0,1866,48,0,0,,
72,139,0,0,0,1861,49,0,0,,
73,143,0,0,0,1857,54,0,0,,
74,146,0,0,0,1854,56,0,0,,
75,149,0,0,0,1851,59,5,0,,
76,153,0,0,0,1847,67,5,0,,
77,159,0,0,0,1841,71,5,0,,
78,164,0,0,0,1836,74,5,0,,
79,172,0,0,0,1828,79,5,0,,
80,185,0,0,6,1815,85,5,0,6.0,10.0
81,190,0,0,6,1810,95,5,0,,
82,191,0,0,6,1809,96,5,0,,
83,195,0,0,6,1805,100,5,0,,
84,204,0,0,6,1796,100,5,0,,
85,211,0,0,6,1789,104,5,0,,
86,214,0,0,6,1786,111,5,0,,
87,223,0,0,6,1777,112,5,0,,
88,228,0,0,6,1772,116,5,0,,
89,236,0,0,6,1764,123,5,0,,
90,247,0,0,10,1753,129,5,0,4.0,30.0
91,250,0,0,10,1750,129,5,0,,
92,256,0,0,10,1744,134,5,0,,
93,262,0,0,10,1738,138,5,0,,
94,265,0,0,10,1735,141,5,0,,
95,268,0,0,10,1732,144,5,0,,
96,273,0,0,10,1727,146,7,0,,
97,273,0,0,10,1727,151,8,0,,
98,280,0,0,10,1720,155,9,0,,
99,290,0,0,10,1710,162,10,0,,
100,296,0,0,22,1704,175,10,0,12.0,33.0
101,298,0,0,22,1702,178,12,0,,
102,304,0,0,22,1696,178,13,0,,
103,308,0,0,22,1692,182,13,0,,
104,312,0,0,22,1688,191,13,0,,
105,318,0,0,22,1682,197,14,0,,
106,324,0,0,22,1676,200,14,0,,
107,329,0,0,22,1671,209,14,0,,
108,339,1,0,22,1660,214,14,0,,
109,351,1,0,22,1648,220,16,0,,
110,360,1,0,36,1639,230,17,0,14.0,73.0
111,362,1,0,36,1637,232,18,0,,
112,366,1,0,36,1633,236,20,0,,
113,369,1,0,36,1630,241,21,0,,
114,371,1,0,36,1628,244,21,0,,
