,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,7,0,0,0,1993,5,0,0,,0.0
27,8,0,0,0,1992,5,0,0,,0.0
28,9,0,0,0,1991,5,0,0,,0.0
29,9,0,0,0,1991,5,0,0,,0.0
30,12,0,0,0,1988,5,0,0,,0.0
31,14,0,0,0,1986,5,0,0,,0.0
32,17,0,0,0,1983,5,0,0,,0.0
33,20,0,0,0,1980,5,0,0,,0.0
34,23,0,0,0,1977,5,0,0,,0.0
35,25,0,0,0,1975,5,0,0,,0.0
36,25,0,0,0,1975,5,0,0,,0.0
37,26,0,0,0,1974,5,0,0,,0.0
38,27,0,0,0,1973,5,0,0,,0.0
39,27,0,0,0,1973,5,0,0,,0.0
40,28,0,0,0,1972,5,0,0,,0.0
41,29,0,0,0,1971,5,0,0,,0.0
42,29,0,0,0,1971,5,0,0,,0.0
43,29,0,0,0,1971,5,0,0,,0.0
44,30,0,0,0,1970,5,0,0,,0.0
45,32,0,0,0,1968,5,0,0,,0.0
46,32,0,0,0,1968,7,0,0,,0.0
47,34,0,0,0,1966,8,0,0,,0.0
48,35,0,0,0,1965,9,0,0,,0.0
49,38,0,0,0,1962,9,0,0,,0.0
50,39,0,0,0,1961,12,0,0,,0.0
51,39,0,0,0,1961,14,0,0,,0.0
52,46,0,0,0,1954,17,0,0,,0.0
53,52,0,0,0,1948,20,0,0,,0.0
54,56,0,0,0,1944,23,0,0,,0.0
55,62,0,0,0,1938,25,0,0,,0.0
56,70,0,0,0,1930,25,0,0,,0.0
57,78,0,0,0,1922,26,0,0,,0.0
58,83,0,0,0,1917,27,0,0,,0.0
59,87,0,0,0,1913,27,0,0,,0.0
60,93,0,0,0,1907,28,0,0,,0.0
61,98,0,0,0,1902,29,0,0,,0.0
62,104,0,0,0,1896,29,0,0,,
63,106,0,0,0,1894,29,0,0,,
64,110,0,0,0,1890,30,0,0,,
65,110,0,0,0,1890,32,0,0,,
66,117,0,0,0,1883,32,0,0,,
67,122,0,0,0,1878,34,0,0,,
68,123,0,0,0,1877,35,0,0,,
69,126,0,0,0,1874,38,0,0,,
70,132,0,0,0,1868,39,0,0,0.0,10.0
71,133,0,0,0,1867,39,0,0,,
72,133,0,0,0,1867,46,0,0,,
73,136,0,0,0,1864,52,0,0,,
74,137,0,0,0,1863,56,0,0,,
75,139,0,0,0,1861,57,5,0,,
76,147,0,0,0,1853,65,5,0,,
77,154,0,0,0,1846,73,5,0,,
78,161,0,0,0,1839,78,5,0,,
79,166,0,0,0,1834,82,5,0,,
80,172,0,0,6,1828,88,5,0,6.0,10.0
81,172,0,0,6,1828,93,5,0,,
82,176,0,0,6,1824,99,5,0,,
83,180,0,0,6,1820,101,5,0,,
84,182,0,0,6,1818,105,5,0,,
85,186,0,0,6,1814,105,5,0,,
86,187,0,0,6,1813,112,5,0,,
87,196,0,0,6,1804,117,5,0,,
88,207,0,0,6,1793,118,5,0,,
89,217,0,0,6,1783,121,5,0,,
90,228,0,0,9,1772,127,5,0,3.0,30.0
91,231,0,0,9,1769,128,5,0,,
92,233,0,0,9,1767,128,5,0,,
93,235,0,0,9,1765,131,5,0,,
94,238,0,0,9,1762,132,5,0,,
95,240,0,0,9,1760,134,5,0,,
96,242,0,0,9,1758,142,5,0,,
97,251,0,0,9,1749,149,5,0,,
98,257,0,0,9,1743,156,5,0,,
99,261,0,0,9,1739,161,5,0,,
100,271,0,0,13,1729,165,7,0,4.0,30.0
101,273,0,0,13,1727,164,8,0,,
102,282,0,0,13,1718,165,11,0,,
103,284,0,0,13,1716,166,14,0,,
104,287,0,0,13,1713,166,16,0,,
105,288,0,0,13,1712,169,17,0,,
106,295,0,0,13,1705,170,17,0,,
107,297,0,0,13,1703,178,18,0,,
108,302,0,0,13,1698,188,19,0,,
109,306,0,0,13,1694,198,19,0,,
110,310,0,0,32,1690,208,20,0,19.0,43.0
111,315,0,0,32,1685,210,21,0,,
112,317,0,0,32,1683,212,21,0,,
113,319,0,0,32,1681,214,21,0,,
114,323,0,0,32,1677,216,22,0,,
