,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,8,0,0,0,1992,5,0,0,,0.0
27,9,0,0,0,1991,5,0,0,,0.0
28,9,0,0,0,1991,5,0,0,,0.0
29,11,0,0,0,1989,5,0,0,,0.0
30,14,0,0,0,1986,5,0,0,,0.0
31,16,0,0,0,1984,5,0,0,,0.0
32,18,0,0,0,1982,5,0,0,,0.0
33,20,0,0,0,1980,5,0,0,,0.0
34,21,0,0,0,1979,5,0,0,,0.0
35,24,0,0,0,1976,5,0,0,,0.0
36,24,0,0,0,1976,5,0,0,,0.0
37,27,0,0,0,1973,5,0,0,,0.0
38,32,0,0,0,1968,5,0,0,,0.0
39,33,0,0,0,1967,5,0,0,,0.0
40,36,0,0,0,1964,5,0,0,,0.0
41,37,0,0,0,1963,5,0,0,,0.0
42,39,0,0,0,1961,5,0,0,,0.0
43,42,0,0,0,1958,5,0,0,,0.0
44,42,0,0,0,1958,5,0,0,,0.0
45,46,0,0,0,1954,5,0,0,,0.0
46,47,0,0,0,1953,8,0,0,,0.0
47,47,0,0,0,1953,9,0,0,,0.0
48,49,0,0,0,1951,9,0,0,,0.0
49,52,0,0,0,1948,11,0,0,,0.0
50,54,0,0,0,1946,14,0,0,,0.0
51,56,0,0,0,1944,16,0,0,,0.0
52,59,0,0,0,1941,18,0,0,,0.0
53,61,0,0,0,1939,20,0,0,,0.0
54,62,0,0,0,1938,21,0,0,,0.0
55,65,0,0,0,1935,24,0,0,,0.0
56,70,0,0,0,1930,24,0,0,,0.0
57,74,0,0,0,1926,27,0,0,,0.0
58,83,0,0,0,1917,32,0,0,,0.0
59,95,0,0,0,1905,33,0,0,,0.0
60,111,0,0,0,1889,36,0,0,0.0,10.0
61,111,0,0,0,1889,37,0,0,,
62,113,0,0,0,1887,39,0,0,,
63,114,0,0,0,1886,42,0,0,,
64,115,0,0,0,1885,42,0,0,,
65,117,0,0,0,1883,46,0,0,,
66,119,0,0,0,1881,47,0,0,,
67,123,0,0,0,1877,47,0,0,,
68,125,0,0,0,1875,49,0,0,,
69,127,0,0,0,1873,52,0,0,,
70,128,0,0,0,1872,54,0,0,0.0,10.0
71,130,0,0,0,1870,56,0,0,,
72,133,0,0,0,1867,59,0,0,,
73,136,0,0,0,1864,61,0,0,,
74,137,0,0,0,1863,62,0,0,,
75,138,0,0,0,1862,60,5,0,,
76,141,0,0,0,1859,65,5,0,,
77,145,0,0,0,1855,69,5,0,,
78,152,0,0,0,1848,78,5,0,,
79,160,0,0,0,1840,90,5,0,,
80,164,0,0,5,1836,106,5,0,5.0,10.0
81,165,0,0,5,1835,106,5,0,,
82,168,0,0,5,1832,108,5,0,,
83,173,0,0,5,1827,109,5,0,,
84,177,0,0,5,1823,110,5,0,,
85,181,0,0,5,1819,112,5,0,,
86,184,0,0,5,1816,114,5,0,,
87,191,0,0,5,1809,118,5,0,,
88,193,0,0,5,1807,120,5,0,,
89,199,0,0,5,1801,122,5,0,,
90,206,0,0,6,1794,123,5,0,1.0,16.0
91,207,0,0,6,1793,125,5,0,,
92,207,0,0,6,1793,128,5,0,,
93,209,0,0,6,1791,131,5,0,,
94,213,0,0,6,1787,132,5,0,,
95,217,0,0,6,1783,133,5,0,,
96,220,0,0,6,1780,134,7,0,,
97,223,0,0,6,1777,137,8,0,,
98,228,0,0,6,1772,144,8,0,,
99,234,0,0,6,1766,150,10,0,,
100,237,0,0,13,1763,152,12,0,7.0,20.0
101,241,0,0,13,1759,151,14,0,,
102,244,0,0,13,1756,154,14,0,,
103,245,0,0,13,1755,158,15,0,,
104,246,0,0,13,1754,161,16,0,,
105,248,0,0,13,1752,164,17,0,,
106,252,0,0,13,1748,167,17,0,,
107,256,0,0,13,1744,173,18,0,,
108,257,0,0,13,1743,173,20,0,,
109,261,0,0,13,1739,178,21,0,,
110,271,0,0,25,1729,183,23,0,12.0,43.0
111,271,0,0,25,1729,184,23,0,,
112,274,0,0,25,1726,182,25,0,,
113,274,0,0,25,1726,181,28,0,,
114,276,0,0,25,1724,185,28,0,,
