,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,8,0,0,0,1992,5,0,0,,0.0
27,9,0,0,0,1991,5,0,0,,0.0
28,9,0,0,0,1991,5,0,0,,0.0
29,11,0,0,0,1989,5,0,0,,0.0
30,13,0,0,0,1987,5,0,0,,0.0
31,14,0,0,0,1986,5,0,0,,0.0
32,15,0,0,0,1985,5,0,0,,0.0
33,18,0,0,0,1982,5,0,0,,0.0
34,19,0,0,0,1981,5,0,0,,0.0
35,19,0,0,0,1981,5,0,0,,0.0
36,22,0,0,0,1978,5,0,0,,0.0
37,22,0,0,0,1978,5,0,0,,0.0
38,23,0,0,0,1977,5,0,0,,0.0
39,25,0,0,0,1975,5,0,0,,0.0
40,25,0,0,0,1975,5,0,0,,0.0
41,29,0,0,0,1971,5,0,0,,0.0
42,34,0,0,0,1966,5,0,0,,0.0
43,36,0,0,0,1964,5,0,0,,0.0
44,36,0,0,0,1964,5,0,0,,0.0
45,37,0,0,0,1963,5,0,0,,0.0
46,40,0,0,0,1960,8,0,0,,0.0
47,42,0,0,0,1958,9,0,0,,0.0
48,46,0,0,0,1954,9,0,0,,0.0
49,50,0,0,0,1950,11,0,0,,0.0
50,52,0,0,0,1948,13,0,0,,0.0
51,58,0,0,0,1942,14,0,0,,0.0
52,63,0,0,0,1937,15,0,0,,0.0
53,68,0,0,0,1932,18,0,0,,0.0
54,70,0,0,0,1930,19,0,0,,0.0
55,76,0,0,0,1924,19,0,0,,0.0
56,78,0,0,0,1922,22,0,0,,0.0
57,83,0,0,0,1917,22,0,0,,0.0
58,89,0,0,0,1911,23,0,0,,0.0
59,98,0,0,0,1902,25,0,0,,0.0
60,103,0,0,1,1897,25,0,0,1.0,10.0
61,103,0,0,1,1897,29,0,0,,
62,105,0,0,1,1895,34,0,0,,
63,105,0,0,1,1895,36,0,0,,
64,106,0,0,1,1894,36,0,0,,
65,110,0,0,1,1890,37,0,0,,
66,111,0,0,1,1889,40,0,0,,
67,116,0,0,1,1884,42,0,0,,
68,117,0,0,1,1883,46,0,0,,
69,119,0,0,1,1881,50,0,0,,
70,121,0,0,1,1879,52,0,0,0.0,10.0
71,122,0,0,1,1878,58,0,0,,
72,124,0,0,1,1876,63,0,0,,
73,128,0,0,1,1872,68,0,0,,
74,132,0,0,1,1868,70,0,0,,
75,137,0,0,1,1863,71,5,0,,
76,139,0,0,1,1861,73,5,0,,
77,142,0,0,1,1858,78,5,0,,
78,147,0,0,1,1853,84,5,0,,
79,153,0,0,1,1847,93,5,0,,
80,155,0,0,8,1845,98,5,0,7.0,10.0
81,157,0,0,8,1843,98,5,0,,
82,158,0,0,8,1842,100,5,0,,
83,159,0,0,8,1841,100,5,0,,
84,161,0,0,8,1839,101,5,0,,
85,161,0,0,8,1839,105,5,0,,
86,165,0,0,8,1835,106,5,0,,
87,167,0,0,8,1833,111,5,0,,
88,170,0,0,8,1830,112,5,0,,
89,173,0,0,8,1827,114,5,0,,
90,174,0,0,12,1826,116,5,0,4.0,26.0
91,175,0,0,12,1825,117,5,0,,
92,179,0,0,12,1821,119,5,0,,
93,180,0,0,12,1820,123,5,0,,
94,182,0,0,12,1818,127,5,0,,
95,183,0,0,12,1817,132,5,0,,
96,186,0,0,12,1814,131,8,0,,
97,189,0,0,12,1811,133,9,0,,
98,195,0,0,12,1805,138,9,0,,
99,198,0,0,12,1802,143,10,0,,
100,201,0,0,19,1799,143,12,0,7.0,36.0
101,202,0,0,19,1798,144,13,0,,
102,205,0,0,19,1795,144,14,0,,
103,206,0,0,19,1794,143,16,0,,
104,206,0,0,19,1794,145,16,0,,
105,209,0,0,19,1791,145,16,0,,
106,211,0,0,19,1789,146,19,0,,
107,212,0,0,19,1788,148,19,0,,
108,215,0,0,19,1785,150,20,0,,
109,218,0,0,19,1782,152,21,0,,
110,224,0,0,32,1776,153,21,0,13.0,60.0
111,224,0,0,32,1776,151,24,0,,
112,225,0,0,32,1775,150,29,0,,
113,225,0,0,32,1775,150,30,0,,
114,227,0,0,32,1773,152,30,0,,
